,en,fr,en_c,fr_c
73,madam president the presentation of the prodi commission' s political programme for the whole legislature was initially a proposal by the group of the party of european socialists which was unanimously approved by the conference of presidents in september and which was also explicitly accepted by president prodi who reiterated his commitment in his inaugural speech,START_ madame la présidente la présentation du programme politique de la commission prodi pour l'ensemble de la législature était au départ une proposition du groupe du parti des socialistes européens qui a obtenu l'unanimité lors de la conférence des présidents en septembre mais aussi l'approbation explicite du président prodi qui a réitéré son engagement dans son discours d'investiture _END,56,59
74,this commitment is important because the commission is a body with a monopoly of initiative in accordance with the treaties and therefore basically dictates this parliament' s political and legislative activity for the next five years,START_ cet engagement est important dans la mesure où la commission est un organisme qui détient conformément aux traités le monopole de l'initiative et qui par conséquent décide pour l'essentiel quelle sera l'activité politique et législative de ce parlement au cours des cinq prochaines années _END,36,46
75,i would also like to point out madam president that this parliament voted to express its confidence in president prodi during the previous legislature it did so again during this legislature in july and then in september it voted once more to approve the whole commission,START_ je vous rappelle en outre madame la présidente que ce parlement a voté par deux fois la confiance au président prodi lors de la précédente législature  au cours de cette législature il l'a de nouveau votée en juillet et ensuite avec l'entrée en fonction de la nouvelle commission il a redonné sa confiance en septembre à l'ensemble de la commission _END,46,62
76,there has therefore been enough time for the commission to prepare its programme and for us to become familiar with it and explain it to our citizens,START_ il s'est donc écoulé suffisamment de temps pour que la commission prépare son programme et pour que nous puissions en prendre connaissance et l'expliquer aux citoyens _END,27,28
77,to this end i would like to remind you of the resolution of 15 september which recommended that the proposal be presented as soon as possible,START_ en ce sens je vous rappelle la résolution du 15 septembre laquelle recommandait que la proposition soit présentée dans les plus brefs délais _END,26,25
78,the events of last week - which originated outside the conference of presidents that conference being used simply to corroborate and ratify decisions taken elsewhere - present us with a dilemma either the commission is not ready to present this programme in which case it should clarify it,START_ les événements qui se sont produits la semaine dernière ­ qui sont nés en marge de la conférence des présidents et se servent d'elle dans le seul but de corroborer et de ratifier des décisions prises en dehors de celle-ci ­ créent un dilemme  ou bien la commission n'est pas en mesure de présenter ce programme  dans ce cas il conviendrait qu'elle tire les choses au clair _END,48,69
79,according to its president it is in a position to do so,START_ aux dires de son président la commission serait en mesure de le faire _END,12,15
80,given that the commission is represented by vice-president de palacio i believe that before voting it would help if the commission could let us know how ready it is to present this programme as agreed alternatively parliament is not ready to examine this programme as some appear to be suggesting,START_ étant donné que la commission est représentée par la vice-présidente mme de palacio je crois qu'avant de voter il serait bon de connaître la position de la commission en ce qui concerne ses disponibilités pour présenter le programme tel que cela avait été convenu ou bien le parlement n'est pas en mesure d'examiner ce programme comme certains semblent le prétendre _END,50,62
81,in my opinion this second hypothesis would imply the failure of parliament in its duty as a parliament as well as introducing an original thesis an unknown method which consists of making political groups aware in writing of a speech concerning the commission' s programme a week earlier - and not a day earlier as had been agreed - bearing in mind that the legislative programme will be discussed in february so we could forego the debate since on the next day our citizens will hear about it in the press and on the internet and parliament will no longer have to worry about it,START_ à mon avis cette deuxième hypothèse signifierait le rejet de nos responsabilités en tant que parlement outre l'introduction d'une thèse originale d'une méthode inconnue qui consiste à communiquer aux groupes politiques le discours du programme de la commission par écrit une semaine avant ­ et non le jour avant comme il avait été convenu ­ en tenant compte du fait que le programme législatif serait discuté en février de telle sorte que nous pourrions nous passer du débat car le lendemain la presse et internet l'auraient porté à la connaissance de tous les citoyens et le parlement n'aurait plus de raison de s'en occuper _END,105,106
82,my group believes that since a parliament is meant to listen debate and reflect there can be no justification whatsoever for this delay and we believe that if the commission is ready to do so we still have time to re-establish the original agreement between parliament and the commission and proceed in a manner which fulfils our duty to our fellow citizens,START_ mon groupe estimant qu'un parlement est là pour écouter pour débattre et pour réfléchir nous pensons qu'aucune raison ne justifie cet ajournement et nous croyons que si la commission est en mesure de le présenter nous avons parfaitement le temps pour rétablir l'accord original entre le parlement et la commission et d'agir de manière responsable vis-à-vis de nos concitoyennes et concitoyens _END,62,63
83,therefore the proposal of the group of the party of european socialists and which you have mentioned is that the prodi commission present its legislative programme on wednesday including its proposed administrative reform because otherwise we could find ourselves in a paradoxical situation on the pretext that there is no text on the one hand the president of the commission would be denied his right to speak in this parliament and on the other hand there would be a debate on a reform when parliament had no prior knowledge of the texts on which it is based,START_ par conséquent la proposition du groupe du parti des socialistes européens que vous avez mentionnée est de maintenir à mercredi la présentation du programme de législature de la commission prodi en incluant également dans le programme le projet de réforme administrative car si ce n'est pas fait nous risquons de nous retrouver dans une position paradoxale  sous prétexte qu'il n'y a pas de texte on refuse d'une part le droit du président de la commission à s'exprimer dans ce parlement et d'autre part la tenue d'un débat sur une réforme dont le parlement ne connaît pas les textes _END,97,100
84,therefore madam president i would ask you to request that the commission express its opinion on this issue and that we then proceed to the vote,START_ je vous prie dès lors madame la présidente de demander à la commission de s'exprimer maintenant et que l'on procède ensuite au vote _END,26,25
85,applause from the pse group,START_ applaudissements du groupe pse _END,5,6
86,madam president i would like to make it very clear that above all the commission has absolute respect for the decisions of this parliament and amongst those the decision establishing its agenda,START_ madame la présidente avant toute chose je voudrais qu'il soit bien clair que la commission a le plus grand respect pour les décisions de ce parlement et notamment pour celle qui concerne la fixation de l'ordre du jour _END,32,40
87,we therefore respect whatever parliament may decide,START_ par conséquent nous respectons les décisions que pourrait prendre le parlement dans ce sens _END,7,16
88,but i would also like to make it very clear that president prodi made a commitment to this parliament to introduce a new debate as mr barón crespo has reminded us which would be in addition to the annual debate on the commission' s legislative programme on the broad areas of action for the next five years that is to say for this legislature,START_ mais je voudrais également qu'il soit bien clair que le président prodi s'est engagé avec le parlement à instaurer un nouveau débat comme l'a rappelé m barón qui vient s'ajouter au débat annuel sur le programme législatif de la commission sur les grandes lignes d'action pour la prochaine période de cinq ans c'est-à-dire pour cette législature _END,64,58
89,madam president i would like to say that the agreement reached in september distinguished this debate from the annual presentation of the commission' s legislative programme,START_ je voudrais dire madame la présidente que dans l'accord auquel on est parvenu au mois de septembre ce débat diffère de la présentation annuelle du programme législatif de la commission _END,26,32
90,i would also like to say that the commission is prepared and ready to hold this debate whenever it is convenient and that we were ready to do so this week as we had agreed originally on the basis that it would be presented the day before in a speech to parliamentary groups,START_ j'ajouterais madame la présidente que du côté de la commission nous sommes prêts et disposés à organiser ce débat quand cela vous conviendra que nous étions prêts à le développer cette semaine comme cela avait été décidé au départ en se basant sur le fait qu'il était présenté la veille dans un discours aux groupes parlementaires _END,53,58
91,therefore madam president i would like to repeat that the commission has debated the action plan for the next five years and when parliament decides - this week if that is the decision - we are prepared to come and explain the programme for the next five years and next month the programme for 2000 which is what we fully agreed upon,START_ je voudrais donc répéter madame la présidente que pour notre part nous avons discuté du programme d'action pour les cinq prochaines années et que nous sommes prêts à venir présenter le programme pour les cinq prochaines années quand le parlement le décidera ­ y compris cette semaine si telle est sa décision ­ et le programme pour l'an 2000 le mois prochain ce sur quoi nous nous étions parfaitement mis d'accord _END,62,73
92,i propose that we vote on the request of the group of the party of european socialists that the commission statement on its strategic objectives should be reinstated,START_ je propose que nous votions sur la demande du groupe socialiste visant à réinscrire la déclaration de la commission sur ses objectifs stratégiques _END,28,25
93,parliament rejected the request president,START_ le parlement rejette la demande la présidente _END,5,9
94,still on the subject of wednesday' s sitting i have another proposal regarding the oral question on capital tax,START_ toujours au sujet de la journée du mercredi j'ai une autre proposition concernant la question orale sur l'impôt sur le capital _END,19,23
95,the ppe-de group is requesting that this item be taken off the agenda,START_ le groupe ppe­de demande de retirer ce point de l'ordre du jour _END,13,14
96,is there a member who wishes to speak on behalf of this group to propose this,START_ y a-t-il un collègue pour prendre la parole au nom du groupe et justifier cette demande  _END,16,18
97,madam president i can hear a ripple of laughter from the socialists i was told that large sections of the socialist group were also keen to have this item taken off the agenda because at the vote in the conference of presidents no vote was received from the working group of members of the socialist group responsible for this matter,START_ madame la présidente pour répondre aux rires que j'entends parmi les socialistes on m'a dit que de larges pans du groupe socialiste aimeraient également supprimer ce point de l'ordre du jour car lors du scrutin au sein de la conférence des présidents les collègues responsables du groupe socialiste ne disposaient pas du vote du groupe de travail _END,60,59
98,i do not know whether this information is correct but the ppe-de group would in any case be grateful if this item were removed because parliament has addressed this issue several times already,START_ je ne sais si cette information est correcte mais quoi qu'il en soit le groupe ppe-de vous saurait gré de supprimer ce point de l'ordre du jour car le parlement s'est en effet maintes fois saisi de cette question _END,33,41
99,decisions have also been adopted against a tax of this kind,START_ des décisions existent qui s'opposent à une telle taxe _END,11,11
100,that is why my group moves that this item be taken off the agenda,START_ c'est pourquoi mon groupe demande que ce point soit retiré de l'ordre du jour _END,14,16
101,thank you mr poettering,START_ merci monsieur poettering _END,4,5
102,we shall now hear mr wurtz speaking against this request,START_ nous entendons à présent m wurtz qui s' exprime contre cette demande _END,10,14
103,madam president i would firstly like to point out mr poettering' s lack of logic,START_ madame la présidente je voudrais d' abord souligner le manque de logique de m poettering _END,15,17
104,he has just been preaching to the group of the party of european socialists because they went back on a decision taken in a perfectly clear manner at the conference of presidents and now he is doing just the same,START_ a l' instant il vient de faire la leçon au groupe socialiste parce que celui-ci revient sur une décision qui a été prise de façon extrêmement nette en conférence des présidents or il fait la même chose _END,40,39
105,we discussed that matter and we were unanimous with the exception of the ppe and eldr groups as my fellow chairmen will recall i even mentioned that it was not a matter of knowing whether one was for or against the tobin tax but of whether one dared to hear what the commission and the council thought of it,START_ nous avons discuté nous étions unanimes sauf le groupe ppe et le groupe libéral et j' avais même fait remarquer vous vous en souviendrez mes chers confrères présidents que la question n' est pas de savoir si vous êtes pour ou contre la taxe tobin mais de savoir si vous osez entendre ce que la commission et le conseil en pensent _END,59,63
106,it is not a lot to ask,START_ ce n' est pas demander beaucoup _END,7,8
107,i therefore repeat the proposal that this oral question to the commission and the council should be retained so that we can find out once and for all the positions of these two bodies regarding the proposal which is relatively modest but which would give a clear message to public opinion particularly after the tide of feeling generated by the failure of the seattle conference,START_ donc je réitère la proposition de maintenir cette question orale à la commission et au conseil pour connaître une fois pour toutes la position de ces deux instances par rapport à cette proposition relativement modeste mais qui donnerait un signal important à l' opinion en particulier après l' émotion suscitée par l' échec de la conférence de seattle _END,65,60
108,we shall proceed to vote on the ppe-de group' s request that the oral question regarding the capital tax be withdrawn from the agenda,START_ nous allons voter sur la demande du groupe ppe-de visant à retirer la question orale concernant l' impôt sur le capital de l' ordre du jour _END,24,28
109,parliament rejected the request with 164 votes for 166 votes against and 7 abstentions,START_ le parlement rejette la demande avec 164 voix pour 166 voix contre et 7 abstentions _END,14,17
110,madam president i would like to thank mr poettering for advertising this debate,START_ madame la présidente je voudrais remercier m poettering pour le coup de publicité qu' il vient de donner à ce débat _END,13,23
111,thank you very much,START_ merci _END,4,3
112,madam president has my vote been counted i was unable to vote electronically since i do not have a card,START_ madame la présidente a-t-on comptabilisé mon vote qui n'a pu être réalisé électroniquement parce que je n'ai pas ma carte  _END,20,22
113,my vote was in favour ,START_ j'ai voté pour _END,5,5
114,indeed if we add the two members who have declared themselves then the result of the vote would be ,START_ effectivement si on ajoute les deux collègues qui se sont manifestés nous obtenons comme résultat _END,19,17
115,madam president the presidency has already declared the result of the vote,START_ madame la présidente la présidence a proclamé le résultat du vote _END,12,13
116,there is no room for amendments,START_ les modifications n'ont pas lieu d'être _END,6,8
117,madam president in the earlier vote - and i will abide by your ruling on this matter - on the question of the strategic plan of the commission i indicated that i would like to speak in advance of the vote on behalf of my group,START_ madame la présidente lors du dernier vote ­ et je m'en remets à votre décision sur ce sujet - sur la question du plan stratégique de la commission j'ai signalé que je demandais la parole avant le vote au nom de mon groupe _END,46,45
118,that did not happen,START_ mais ma demande n'a pas été satisfaite _END,4,9
119,i would appreciate it if on the close of this item of business i might be allowed to give an explanation of vote on behalf of my group,START_ je vous saurai gré à l'issue de ce point de l'ordre du jour de me permettre de fournir un explication de vote au nom de mon groupe _END,28,29
120,this is an important matter,START_ c'est important _END,5,4
121,it would be useful for the record of the house to state how people perceive what we have just done in the light of their own political analysis,START_ il serait utile de consigner au procès-verbal du parlement la manière dont les gens perçoivent ce que nous venons de faire à la lumière de leur propre analyse politique _END,28,31
122,madam president i do not wish to reopen the debate but i had also asked for the floor to comment on mr barón crespo's motion,START_ madame la présidente je ne veux pas relancer le débat mais j'avais également demandé la parole pour m'exprimer quant à la demande de m barón crespo _END,25,28
123,you did not call me either,START_ moi non plus vous ne m'avez pas donné la parole _END,6,12
124,i regret this but the vote has already been taken and the decision is made so let us leave the matter there,START_ je le déplore mais le vote a été effectué la décision est tombée et nous devrions donc en rester là _END,22,22
125,i am terribly sorry mr hänsch and mr cox i did not see you asking to speak,START_ je suis désolée monsieur hänsch et monsieur cox je n'avais pas vu que vous demandiez la parole _END,17,19
126,even so i think the positions are quite clear and they shall be entered in the minutes,START_ cela étant je crois que les positions sont bien claires et elles seront consignées au procès-verbal _END,17,18
127,when we adopt the minutes for today' s sitting tomorrow then any members who think the positions have not been explained clearly enough may ask for amendments,START_ lorsque nous adopterons demain le procès-verbal de la séance d'aujourd'hui les collègues qui estimeront que les positions n'ont pas été suffisamment bien expliquées pourront demander des modifications _END,27,29
128,this seems to me to be a workable solution,START_ il me semble que c'est une bonne formule _END,9,10
129,of course the minutes for tomorrow' s sitting will take into account any additional explanations,START_ bien entendu le procès-verbal de la réunion de demain tiendra compte de toutes les explications complémentaires _END,15,18
130,i think this is a better solution than proceeding now to extremely time-consuming explanations of votes,START_ je crois que c'est une meilleure formule que de procéder maintenant à des explications de vote qui nous entraîneraient très loin _END,16,23
131,mr cox mr hänsch would this be acceptable to you,START_ monsieur cox monsieur hänsch est-ce que cela vous convient  _END,10,11
132,madam president if the vote records correctly how my group voted i shall not and cannot object to that,START_ madame la présidente si le procès-verbal reflète correctement le vote de mon groupe je n'ai et n'aurai aucune objection à formuler _END,19,23
133,if your ruling is that i cannot give an explanation of vote i accept that but with reservations,START_ si votre décision est que je ne puis pas donner d'explication de vote je l'accepte mais avec certaines réserves _END,18,21
